co_acesso,codigo,dt_ini_operacao,ic_participa_compe,ispb,no_extenso,nome
RSFN,1.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,0,Banco do Brasil S.A.,BCO DO BRASIL S.A.
RSFN,70.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,208,Banco de Brasília S.A.,BRB - BCO DE BRASILIA S.A.
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,38121,Banco Central do Brasil - Selic,Selic
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,38166,Banco Central do Brasil,Bacen
RSFN,735.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,253448,Banco Neon S.A.,BANCO NEON S.A.
RSFN,136.0,"time.struct_time(tm_year=2014, tm_mon=7, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=209, tm_isdst=-1)",Sim,315557,Confederação Nacional das Cooperativas Centrais Unicred Ltda – Unicred do Brasil,CONF NAC COOP CENTRAIS UNICRED
RSFN,104.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,360305,Caixa Econômica Federal,CAIXA ECONOMICA FEDERAL
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,394460,Secretaria do Tesouro Nacional - STN,STN
RSFN,77.0,"time.struct_time(tm_year=2008, tm_mon=8, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=228, tm_isdst=-1)",Sim,416968,Banco Inter S.A.,BANCO INTER
RSFN,741.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,517645,Banco Ribeirão Preto S.A.,BCO RIBEIRAO PRETO S.A.
RSFN,739.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,558456,Banco Cetelem S.A.,BCO CETELEM S.A.
